TransVit -> Vert
Date : 22-01-2016 17:26:02
Temps   Vitesse
17:27:29 320000 320000
17:27:30 320000 320000
17:27:30 320000 320000
17:27:31 320000 320000
17:27:31 320000 320000
17:27:32 320000 320000
17:27:32 320000 320000
17:27:33 320000 320000
17:27:33 320000 320000
17:27:34 320000 320000
17:27:34 320000 320000
17:27:35 320000 320000
17:27:35 320000 320000
17:27:36 320000 320000
17:27:36 320000 320000
17:27:37 320000 320000
17:27:37 320000 320000
17:27:38 320000 320000
17:27:38 320000 320000
17:27:39 320000 320000
17:27:39 320000 320000
17:27:40 320000 320000
17:27:40 320000 320000
17:27:41 320000 320000
17:27:41 320000 320000
17:27:42 320000 320000
17:27:42 320000 320000
17:27:43 320000 320000
17:27:43 320000 320000
17:27:44 320000 320000
17:27:44 320000 320000
17:27:45 320000 320000
17:27:45 320000 320000
17:27:46 320000 320000
17:27:46 320000 320000
17:27:47 320000 320000
17:27:47 320000 320000
17:27:48 320000 320000
17:27:48 320000 320000
17:27:49 320000 320000
17:27:49 320000 320000
17:27:50 320000 320000
17:27:50 320000 320000
17:27:51 320000 320000
17:27:51 320000 320000
17:27:52 320000 320000
17:27:52 320000 320000
17:27:53 320000 320000
17:27:53 320000 320000
17:27:54 320000 320000
17:27:54 320000 320000
17:27:55 320000 320000
17:27:55 320000 320000
17:27:56 320000 320000
17:27:56 320000 320000
17:27:57 320000 320000
17:27:57 320000 320000
17:27:58 320000 320000
17:27:58 320000 320000
17:27:59 320000 320000
17:27:59 320000 320000
17:28:00 320000 320000
17:28:00 320000 320000
17:28:01 320000 320000
17:28:01 320000 320000
17:28:02 320000 320000
17:28:02 320000 320000
17:28:03 320000 320000
17:28:03 320000 320000
17:28:04 320000 320000
17:28:05 320000 320000
17:28:05 320000 320000
17:28:06 320000 320000
17:28:06 320000 320000
17:28:07 320000 320000
17:28:07 320000 320000
17:28:08 320000 320000
17:28:08 320000 320000
17:28:09 320000 320000
17:28:09 320000 320000
17:28:10 320000 320000
17:28:10 320000 320000
17:28:11 320000 320000
17:28:11 320000 340000
17:28:12 339044 340000
17:28:12 340000 340000
17:28:13 340000 340000
17:28:13 340000 340000
17:28:14 340000 320000
17:28:14 320038 320000
17:28:15 320000 320000
17:28:15 320000 320000
17:28:16 320000 320000
17:28:16 320000 320000
17:28:17 320000 320000
17:28:17 320000 320000
17:28:18 320000 320000
17:28:18 320000 320000
17:28:19 320000 320000
17:28:19 320000 320000
17:28:20 320000 320000
17:28:20 320000 320000
17:28:21 320000 320000
17:28:21 320000 320000
17:28:22 320000 320000
17:28:22 320000 320000
17:28:23 320000 320000
17:28:23 320000 320000
17:28:24 320000 320000
17:28:24 320000 320000
17:28:25 320000 320000
17:28:25 320000 320000
17:28:26 320000 320000
17:28:26 320000 320000
17:28:27 320000 320000
17:28:27 320000 320000
17:28:28 320000 320000
17:28:28 320000 320000
17:28:29 320000 320000
17:28:29 320000 320000
17:28:30 320000 320000
17:28:30 320000 320000
17:28:31 320000 320000
17:28:31 320000 320000
17:28:32 310858 0
17:28:32 261314 0
17:28:33 211012 0
17:28:33 160742 0
17:28:34 110436 0
17:28:34 60453 0
17:28:35 0 0
17:28:35 0 0
17:28:36 0 0
17:28:36 0 0
17:28:37 0 0
17:28:37 0 0
17:28:38 0 0
17:28:38 0 0
17:28:39 0 0
17:28:39 0 0
17:28:40 0 0
17:28:40 0 0
17:28:41 0 0
17:28:41 0 0
17:28:42 0 0
17:28:42 0 0
17:28:43 0 0
17:28:43 0 0
17:28:44 0 0
17:28:44 0 0
17:28:45 0 0
17:28:45 0 0
17:28:46 0 0
17:28:46 0 0
17:28:47 0 0
17:28:47 0 0
17:28:48 0 0
17:28:48 0 0
17:28:49 0 0
17:28:49 0 0
17:28:50 0 0
17:28:50 0 0
17:28:51 0 0
17:28:51 0 0
17:28:52 0 0
17:28:52 0 0
17:28:53 0 0
17:28:53 0 0
17:28:54 0 0
17:28:54 0 0
17:28:55 0 0
17:28:55 0 0
