TransVit -> Rouge
Date : 22-01-2016 17:35:48
Temps   Vitesse
17:38:02 240000 240000
17:38:03 240000 240000
17:38:03 240000 240000
17:38:04 240000 240000
17:38:04 240000 240000
17:38:05 240000 240000
17:38:05 240000 240000
17:38:06 240000 240000
17:38:06 240000 240000
17:38:07 240000 240000
17:38:07 240000 240000
17:38:08 240000 240000
17:38:08 240000 240000
17:38:09 240000 240000
17:38:09 240000 240000
17:38:10 240000 240000
17:38:10 240000 240000
17:38:11 240000 240000
17:38:11 240000 240000
17:38:12 240000 240000
17:38:12 240000 240000
17:38:13 240000 240000
17:38:13 240000 240000
17:38:14 240000 240000
17:38:14 240000 240000
17:38:15 240000 240000
17:38:15 240000 240000
17:38:16 240000 240000
17:38:16 240000 240000
17:38:17 240000 240000
17:38:17 240000 240000
17:38:18 240000 240000
17:38:18 240000 240000
17:38:19 240000 240000
17:38:19 240000 240000
17:38:20 240000 240000
17:38:20 240000 240000
17:38:21 240000 240000
17:38:21 240000 240000
17:38:22 240000 240000
17:38:22 240000 240000
17:38:23 240000 240000
17:38:23 240000 240000
17:38:24 240000 240000
17:38:24 240000 240000
17:38:25 240000 240000
17:38:25 240000 240000
17:38:26 240000 240000
17:38:26 240000 240000
17:38:27 240000 240000
17:38:27 240000 240000
17:38:28 240000 240000
17:38:28 240000 240000
17:38:29 240000 240000
17:38:29 240000 240000
17:38:30 240000 240000
17:38:30 240000 240000
17:38:31 240000 240000
17:38:31 240000 240000
17:38:32 240000 240000
17:38:32 240000 240000
17:38:33 240000 240000
17:38:33 240000 240000
17:38:34 240000 240000
17:38:34 240000 240000
17:38:35 240000 240000
17:38:35 240000 240000
17:38:36 240000 240000
17:38:36 240000 240000
17:38:37 240000 240000
17:38:37 240000 240000
17:38:38 240000 240000
17:38:38 240000 240000
17:38:39 240000 240000
17:38:39 240000 240000
17:38:40 240000 240000
17:38:40 240000 240000
17:38:41 240000 240000
17:38:41 240000 240000
17:38:42 240000 240000
17:38:42 240000 240000
17:38:43 240000 240000
17:38:43 240000 240000
17:38:44 240000 240000
17:38:44 240000 240000
17:38:45 240000 240000
17:38:45 240000 240000
17:38:46 240000 240000
17:38:46 240000 240000
17:38:47 240000 240000
17:38:47 240000 240000
17:38:48 240000 240000
17:38:48 240000 240000
17:38:49 240000 240000
17:38:49 240000 240000
17:38:50 240000 240000
17:38:50 240000 240000
17:38:51 240000 240000
17:38:51 240000 240000
17:38:52 240000 240000
17:38:52 240000 240000
17:38:53 240000 240000
17:38:53 240000 240000
17:38:54 240000 240000
17:38:54 218897 0
17:38:55 168409 0
17:38:55 118329 0
17:38:56 68657 0
17:38:56 0 0
17:38:57 0 0
17:38:57 0 0
17:38:58 0 0
17:38:58 0 0
17:38:59 0 0
17:38:59 0 0
17:39:00 0 0
17:39:00 0 0
17:39:01 0 0
17:39:01 0 0
17:39:02 0 0
17:39:02 0 0
17:39:03 0 0
17:39:03 0 0
17:39:04 0 0
17:39:04 0 0
17:39:05 0 0
17:39:05 0 0
17:39:06 0 0
17:39:06 0 0
17:39:07 0 0
17:39:07 0 0
17:39:08 0 0
17:39:08 0 0
17:39:09 0 0
17:39:09 0 0
17:39:10 0 0
17:39:10 0 0
17:39:11 0 0
17:39:12 0 0
17:39:12 0 0
17:39:13 0 0
17:39:13 0 0
17:39:14 0 0
17:39:14 0 0
17:39:15 0 0
17:39:15 0 0
17:39:16 0 0
17:39:16 0 0
17:39:17 0 0
17:39:17 0 0
17:39:18 0 0
17:39:18 0 0
17:39:19 0 0
17:39:19 0 0
17:39:20 0 0
17:39:20 0 0
17:39:21 0 0
17:39:21 0 0
17:39:22 0 0
17:39:22 0 0
17:39:23 0 0
17:39:23 0 0
17:39:24 0 0
17:39:24 0 0
17:39:25 0 0
17:39:25 0 0
17:39:26 0 0
17:39:26 0 0
