TransVit -> No-Color
15:52:24 300000 300000
15:52:25 300000 300000
15:52:25 300000 300000
15:52:26 300000 300000
15:52:26 300000 300000
15:52:27 300000 300000
15:52:27 300000 300000
15:52:28 300000 300000
15:52:28 300000 300000
15:52:29 300000 300000
15:52:29 300000 300000
15:52:30 300000 300000
15:52:30 300000 300000
15:52:31 300000 300000
15:52:31 300000 300000
15:52:32 300000 300000
15:52:32 300000 300000
15:52:33 300000 300000
15:52:33 300000 300000
15:52:34 300000 300000
15:52:34 300000 300000
15:52:35 300000 300000
15:52:35 300000 300000
15:52:36 300000 300000
15:52:36 300000 300000
15:52:37 300000 300000
15:52:37 300000 300000
15:52:38 300000 300000
15:52:38 300000 300000
15:52:39 300000 300000
15:52:40 300000 300000
15:52:40 300000 300000
15:52:41 300000 300000
15:52:41 300000 300000
15:52:42 300000 300000
15:52:42 300000 300000
15:52:43 300000 300000
15:52:43 300000 300000
15:52:44 300000 300000
15:52:44 300000 300000
15:52:45 300000 300000
15:52:45 300000 300000
15:52:46 300000 300000
15:52:46 300000 300000
15:52:47 300000 300000
15:52:47 300000 300000
15:52:48 300000 300000
15:52:48 300000 300000
15:52:49 300000 300000
15:52:49 300000 300000
15:52:50 300000 300000
15:52:50 300000 300000
15:52:51 300000 300000
15:52:51 300000 300000
15:52:52 300000 300000
15:52:52 300000 300000
15:52:53 300000 300000
15:52:53 300000 300000
15:52:54 300000 300000
15:52:54 300000 300000
15:52:55 300000 300000
15:52:55 300000 300000
15:52:56 300000 300000
15:52:56 300000 300000
15:52:57 300000 300000
15:52:57 300000 300000
15:52:58 300000 300000
15:52:58 300000 300000
15:52:59 300000 300000
15:52:59 300000 300000
15:53:00 300000 300000
15:53:00 300000 300000
15:53:01 300000 300000
15:53:01 300000 300000
15:53:02 300000 300000
15:53:02 300000 300000
15:53:03 300000 300000
15:53:03 300000 300000
15:53:04 300000 300000
15:53:04 300000 300000
15:53:05 300000 300000
15:53:05 300000 300000
15:53:06 300000 300000
15:53:06 300000 300000
15:53:07 300000 300000
15:53:07 300000 300000
15:53:08 300000 300000
15:53:08 300000 300000
15:53:09 300000 300000
15:53:09 300000 300000
15:53:10 300000 300000
15:53:10 300000 300000
15:53:11 300000 300000
15:53:11 300000 300000
15:53:12 300000 300000
15:53:12 300000 300000
15:53:13 300000 300000
15:53:13 300000 300000
15:53:14 300000 300000
15:53:14 300000 300000
15:53:15 300000 300000
15:53:15 300000 300000
15:53:16 300000 300000
15:53:16 300000 300000
15:53:17 300000 300000
15:53:17 300000 300000
15:53:18 300000 300000
15:53:18 300000 300000
15:53:19 300000 300000
15:53:19 300000 300000
15:53:20 300000 300000
15:53:20 300000 300000
15:53:21 300000 300000
15:53:21 300000 300000
15:53:22 300000 300000
15:53:22 300000 300000
15:53:23 300000 300000
15:53:23 300000 300000
15:53:24 300000 300000
15:53:24 300000 300000
15:53:25 300000 300000
15:53:25 300000 300000
15:53:26 300000 300000
15:53:26 300000 300000
15:53:27 300000 300000
15:53:27 300000 300000
15:53:28 300000 300000
15:53:28 300000 300000
15:53:29 300000 300000
15:53:29 298561 0
15:53:30 248659 0
15:53:30 198599 0
15:53:31 148257 0
15:53:31 98155 0
15:53:32 0 0
15:53:32 0 0
15:53:33 0 0
15:53:33 0 0
15:53:34 0 0
15:53:34 0 0
15:53:35 0 0
15:53:35 0 0
